0000000205,0000170000,063426,060866,066792,066934,035560,059406,-88896
0000000206,0000170833,063498,060848,066737,066934,006382,079530,-79842
0000000207,0000171667,063560,060854,066670,066934,-23341,091860,-62449
0000000208,0000172500,063606,060883,066595,066934,-50715,095196,-38411
0000000209,0000173333,063631,060932,066521,066934,-73035,089167,-10062
0000000210,0000174167,063633,060996,066455,066934,-88141,074406,019804
0000000211,0000175000,063612,061069,066404,066934,-94561,052354,048277
0000000212,0000175833,063569,061144,066371,066934,-91623,025143,072550
0000000213,0000176667,063509,061213,066362,066934,-79658,-04539,090267
0000000214,0000177500,063439,061270,066375,066934,-59832,-33799,099701
0000000215,0000178333,063363,061309,066411,066934,-34057,-59759,099886
0000000216,0000179167,063291,061327,066466,066934,-04885,-79892,090847
0000000217,0000180000,063230,061321,066533,066934,024842,-92236,073464
0000000218,0000180833,063184,061292,066608,066934,052203,-95542,049409
0000000219,0000181667,063159,061244,066682,066934,074532,-89528,021066
0000000220,0000182500,063157,061179,066748,066934,089652,-74780,-08802
0000000221,0000183333,063178,061106,066799,066934,096043,-52707,-37266
0000000222,0000184167,063221,061032,066832,066934,093120,-25504,-61546
0000000223,0000185000,063280,060962,066842,066934,081168,004178,-79276
0000000224,0000185833,063351,060905,066828,066934,061319,033432,-88682
0000000225,0000186667,063426,060866,066792,066934,035554,059397,-88882
0000000226,0000187500,063498,060848,066737,066934,006383,079542,-79856
0000000227,0000188333,063560,060854,066670,066934,-23341,091860,-62449
0000000228,0000189167,063606,060883,066595,066934,-50707,095181,-38404
0000000229,0000190000,063631,060932,066521,066934,-73047,089181,-10064
0000000230,0000190833,063633,060996,066455,066934,-88141,074407,019804
0000000231,0000191667,063612,061069,066404,066934,-94546,052345,048270
0000000232,0000192500,063569,061144,066371,066934,-91638,025147,072561
0000000233,0000193333,063509,061213,066362,066934,-79658,-04539,090267
0000000234,0000194167,063439,061270,066375,066934,-59822,-33794,099686
0000000235,0000195000,063363,061309,066411,066934,-34063,-59768,099900
0000000236,0000195833,063291,061327,066466,066934,-04886,-79892,090847
0000000237,0000196667,063230,061321,066533,066934,024838,-92222,073453
0000000238,0000197500,063184,061292,066608,066934,052211,-95557,049416
0000000239,0000198333,063159,061244,066682,066934,074532,-89528,021066
0000000240,0000199167,063157,061179,066748,066934,089638,-74768,-08800
0000000241,0000200000,063178,061106,066799,066934,096058,-52716,-37273
0000000242,0000200833,063221,061032,066832,066934,093120,-25505,-61546
0000000243,0000201667,063280,060962,066841,066934,081155,004177,-79263
0000000244,0000202500,063351,060905,066828,066934,061329,033437,-88697
0000000245,0000203333,063426,060866,066792,066934,035554,059397,-88882
0000000246,0000204167,063498,060848,066737,066934,006382,079530,-79842
0000000247,0000205000,063560,060854,066670,066934,-23345,091875,-62460
0000000248,0000205833,063606,060883,066595,066934,-50707,095181,-38405
0000000249,0000206667,063631,060932,066521,066934,-73035,089166,-10062
0000000250,0000207500,063633,060996,066455,066934,-88155,074418,019807
0000000251,0000208333,063612,061069,066404,066934,-94546,052345,048270
0000000252,0000209167,063569,061144,066371,066934,-91623,025143,072550
0000000253,0000210000,063509,061213,066361,066934,-79671,-04540,090280
0000000254,0000210833,063439,061270,066375,066934,-59822,-33794,099686
0000000255,0000211667,063363,061309,066411,066934,-34057,-59759,099886
0000000256,0000212500,063291,061327,066466,066934,-04886,-79904,090860
0000000257,0000213333,063230,061321,066533,066934,024838,-92222,073453
0000000258,0000214167,063184,061292,066608,066934,052203,-95542,049409
0000000259,0000215000,063159,061244,066682,066934,074543,-89543,021069
0000000260,0000215833,063157,061179,066748,066934,089638,-74768,-08800
0000000261,0000216667,063178,061106,066799,066934,096043,-52707,-37266
0000000262,0000217500,063221,061032,066832,066934,093134,-25509,-61556
0000000263,0000218333,063280,060962,066841,066934,081155,004177,-79262
0000000264,0000219167,063351,060905,066828,066934,061319,033432,-88682
0000000265,0000220000,063426,060866,066792,066934,035560,059406,-88896
0000000266,0000220833,063498,060848,066737,066934,006382,079530,-79842
0000000267,0000221667,063560,060854,066670,066934,-23341,091860,-62449
0000000268,0000222500,063606,060883,066595,066934,-50715,095196,-38411
0000000269,0000223333,063631,060932,066521,066934,-73035,089167,-10062
0000000270,0000224167,063633,060996,066455,066934,-88141,074406,019804
0000000271,0000225000,063612,061069,066404,066934,-94561,052354,048277
0000000272,0000225833,063569,061144,066371,066934,-91623,025143,072550
0000000273,0000226667,063509,061213,066362,066934,-79658,-04539,090267
0000000274,0000227500,063439,061270,066375,066934,-59832,-33799,099701
0000000275,0000228333,063363,061309,066411,066934,-34057,-59759,099886
0000000276,0000229167,063291,061327,066466,066934,-04885,-79892,090847
0000000277,0000230000,063230,061321,066533,066934,024842,-92236,073464
0000000278,0000230833,063184,061292,066608,066934,052203,-95542,049409
0000000279,0000231667,063159,061244,066682,066934,074532,-89528,021066
0000000280,0000232500,063157,061179,066748,066934,089652,-74780,-08802
0000000281,0000233333,063178,061106,066799,066934,096043,-52707,-37266
0000000282,0000234167,063221,061032,066832,066934,093120,-25504,-61546
0000000283,0000235000,063280,060962,066842,066934,081167,004178,-79276
0000000284,0000235833,063351,060905,066828,066934,061319,033432,-88682
0000000285,0000236667,063426,060866,066792,066934,035554,059397,-88882
0000000286,0000237500,063498,060848,066737,066934,006383,079542,-79856
0000000287,0000238333,063560,060854,066670,066934,-23341,091860,-62449
0000000288,0000239167,063606,060883,066595,066934,-50707,095181,-38404
0000000289,0000240000,063631,060932,066521,066934,-73047,089181,-10064
0000000290,0000240833,063633,060996,066455,066934,-88141,074407,019804
0000000291,0000241667,063612,061069,066404,066934,-94546,052345,048270
0000000292,0000242500,063569,061144,066371,066934,-91638,025147,072561
0000000293,0000243333,063509,061213,066362,066934,-79658,-04539,090267
0000000294,0000244167,063439,061270,066375,066934,-59822,-33794,099686
0000000295,0000245000,063363,061309,066411,066934,-34063,-59768,099900
0000000296,0000245833,063291,061327,066466,066934,-04886,-79892,090847
0000000297,0000246667,063230,061321,066533,066934,024838,-92222,073453
0000000298,0000247500,063184,061292,066608,066934,052211,-95557,049416
0000000299,0000248333,063159,061244,066682,066934,074532,-89528,021066
0000000300,0000249167,063157,061179,066748,066934,089638,-74768,-08800
0000000301,0000250000,063178,061106,066799,066934,096058,-52716,-37273
0000000302,0000250833,063221,061032,066832,066934,093120,-25505,-61546
0000000303,0000251667,063280,060962,066841,066934,081155,004177,-79262
0000000304,0000252500,063351,060905,066828,066934,061329,033437,-88697
0000000305,0000253333,063426,060866,066792,066934,035554,059397,-88882
0000000306,0000254167,063498,060848,066737,066934,006382,079530,-79842
0000000307,0000255000,063560,060854,066670,066934,-23345,091875,-62460
0000000308,0000255833,063606,060883,066595,066934,-50707,095181,-38405
0000000309,0000256667,063631,060932,066521,066934,-73035,089166,-10062
0000000310,0000257500,063633,060996,066455,066934,-88155,074418,019807
0000000311,0000258333,063612,061069,066404,066934,-94546,052345,048270
0000000312,0000259167,063569,061144,066371,066934,-91623,025143,072550
0000000313,0000260000,063509,061213,066361,066934,-79671,-04540,090280
0000000314,0000260833,063439,061270,066375,066934,-59822,-33794,099686
0000000315,0000261667,063363,061309,066411,066934,-34057,-59759,099886
0000000316,0000262500,063291,061327,066466,066934,-04886,-79904,090860
0000000317,0000263333,063230,061321,066533,066934,024838,-92222,073453
0000000318,0000264167,063184,061292,066608,066934,052203,-95542,049409
0000000319,0000265000,063159,061244,066682,066934,074543,-89543,021069
