0000000124,0000102500,065549,059213,098132,071311,095829,092960,-91444,095608,033947,-89089
0000000125,0000103333,065624,059173,094545,071311,093251,095556,-91629,093030,059906,-89274
0000000126,0000104167,065696,059156,089097,071311,090334,097569,-82590,090113,080039,-80235
0000000127,0000105000,065758,059162,082318,071311,087361,098803,-65207,087140,092384,-62852
0000000128,0000105833,065803,059191,074870,071311,084625,099134,-41152,084404,095690,-38797
0000000129,0000106667,065828,059239,067485,071311,082392,098533,-12809,082171,089676,-10454
0000000130,0000107500,065830,059303,060882,071311,080880,097058,017059,080659,074928,019414
0000000131,0000108333,065809,059376,055714,071311,080241,094850,045523,080020,052855,047878
0000000132,0000109167,065767,059451,052481,071311,080534,092130,069803,080313,025652,072158
0000000133,0000110000,065707,059521,051498,071311,081729,089162,087533,081508,-04030,089887
0000000134,0000110833,065636,059578,052872,071311,083714,086236,096938,083493,-33285,099293
0000000135,0000111667,065561,059617,056456,071311,086290,083640,097138,086069,-59250,099493
0000000136,0000112500,065489,059635,061903,071311,089207,081625,088113,088986,-79395,090468
0000000137,0000113333,065427,059629,068684,071311,092180,080394,070706,091959,-91713,073061
0000000138,0000114167,065381,059600,076130,071311,094916,080062,046661,094695,-95033,049016
0000000139,0000115000,065356,059551,083515,071311,097150,080662,018321,096929,-89033,020676
0000000140,0000115833,065354,059487,090114,071311,098660,082139,-11547,098439,-74259,-09192
0000000141,0000116667,065376,059414,095283,071311,099300,084345,-40014,099079,-52198,-37659
0000000142,0000117500,065418,059339,098520,071311,099009,087065,-64304,098788,-24999,-61949
0000000143,0000118333,065478,059270,099497,071311,097811,090034,-82010,097590,004686,-79655
0000000144,0000119167,065549,059213,098128,071311,095828,092959,-91429,095607,033941,-89074
0000000145,0000120000,065624,059173,094548,071311,093252,095556,-91644,093031,059916,-89289
0000000146,0000120833,065696,059156,089096,071311,090334,097569,-82590,090113,080039,-80235
0000000147,0000121667,065758,059162,082317,071311,087362,098802,-65197,087141,092369,-62842
0000000148,0000122500,065803,059191,074870,071311,084624,099135,-41159,084403,095705,-38804
0000000149,0000123333,065828,059239,067485,071311,082392,098533,-12809,082171,089676,-10454
0000000150,0000124167,065830,059303,060884,071311,080882,097057,017057,080661,074916,019412
0000000151,0000125000,065809,059376,055711,071311,080240,094851,045530,080019,052863,047885
0000000152,0000125833,065767,059451,052481,071311,080534,092130,069803,080313,025652,072158
0000000153,0000126667,065707,059521,051502,071311,081730,089162,087519,081509,-04030,089874
0000000154,0000127500,065636,059578,052868,071311,083713,086236,096953,083492,-33290,099308
0000000155,0000128333,065561,059617,056456,071311,086290,083640,097138,086069,-59249,099493
0000000156,0000129167,065489,059635,061905,071311,089207,081627,088099,088986,-79382,090454
0000000157,0000130000,065427,059629,068683,071311,092180,080392,070717,091959,-91727,073072
0000000158,0000130833,065381,059600,076130,071311,094916,080062,046661,094695,-95033,049016
0000000159,0000131667,065356,059551,083514,071311,097149,080663,018319,096928,-89019,020674
0000000160,0000132500,065354,059487,090116,071311,098661,082138,-11550,098440,-74271,-09195
0000000161,0000133333,065376,059414,095283,071311,099300,084345,-40013,099079,-52198,-37659
0000000162,0000134167,065418,059339,098516,071311,099008,087065,-64293,098787,-24995,-61938
0000000163,0000135000,065478,059270,099500,071311,097813,090034,-82023,097592,004687,-79668
0000000164,0000135833,065549,059213,098128,071311,095828,092959,-91429,095607,033941,-89074
0000000165,0000136667,065624,059173,094544,071311,093251,095556,-91629,093030,059906,-89274
0000000166,0000137500,065696,059156,089098,071311,090334,097570,-82603,090113,080052,-80248
0000000167,0000138333,065758,059162,082317,071311,087362,098802,-65197,087141,092369,-62842
0000000168,0000139167,065803,059191,074870,071311,084625,099134,-41152,084404,095690,-38797
0000000169,0000140000,065828,059239,067483,071311,082391,098534,-12812,082170,089690,-10457
0000000170,0000140833,065830,059303,060884,071311,080882,097057,017057,080661,074916,019412
0000000171,0000141667,065809,059376,055714,071311,080241,094850,045523,080020,052855,047878
0000000172,0000142500,065767,059451,052477,071311,080532,092131,069813,080311,025656,072168
0000000173,0000143333,065707,059521,051502,071311,081730,089162,087519,081509,-04030,089874
0000000174,0000144167,065636,059578,052871,071311,083714,086236,096938,083493,-33285,099293
0000000175,0000145000,065561,059617,056453,071311,086290,083639,097153,086069,-59259,099508
0000000176,0000145833,065489,059635,061905,071311,089207,081627,088099,088986,-79382,090454
0000000177,0000146667,065427,059629,068684,071311,092180,080394,070706,091959,-91713,073061
0000000178,0000147500,065381,059600,076130,071311,094917,080060,046668,094696,-95048,049023
0000000179,0000148333,065356,059551,083514,071311,097149,080663,018319,096928,-89019,020674
0000000180,0000149167,065354,059487,090114,071311,098660,082139,-11547,098439,-74259,-09193
